,RGIId,lat,lon,area_2020,n,slope,intercept,r_value,p_value,mad_err,wgms_AAR_mean,wgms_SMB_mean
90,RGI60-01.00570,63.2894,-145.4738,,15,0.012330187,0.62496892,0.787726677,0.000488281,0.002674365,0.538,-705.3333333
3334,RGI60-01.01104,58.364,-134.3458405,,19,0.02698834,0.774711493,0.708900593,0.000678808,0.006512465,0.508947368,-984.7368421
1388,RGI60-01.02228,69.30210114,-143.8475952,,6,0.037710132,0.594695593,0.718821999,0.107476486,0.018235296,0.425,-450
94,RGI60-01.09162,60.4298,-148.9049,15.4,12,0.011793108,0.658440261,0.702221137,0.010892022,0.003781023,0.573333333,-721.6666667
45,RGI60-02.00377,49.95756149,-122.9872971,,10,0.023570915,0.365236271,0.839513595,0.002379821,0.005393545,0.358,-30.7
41,RGI60-02.01104,50.42499924,-122.6009979,,11,0.030166603,0.486882267,0.917463279,6.92E-05,0.004360172,0.412727273,-245.8181818
57,RGI60-02.05098,51.65990829,-116.563797,,17,0.020788601,0.491253235,0.792409771,0.000149082,0.00413192,0.361764706,-622.8823529
203,RGI60-02.14297,46.84999847,-121.7200012,,6,0.010069979,0.449145766,0.881125114,0.020356933,0.002702184,0.385,-637
201,RGI60-02.14336,46.81999969,-121.7399979,,6,0.019043309,0.533280131,0.879844336,0.020788709,0.005143274,0.368333333,-866.1666667
77,RGI60-02.17307,48.82590103,-121.6220016,,20,0.017718908,0.627938685,0.960202344,2.06E-11,0.001214835,0.5125,-651.5
1666,RGI60-02.17369,48.67350006,-121.5270004,,5,0.071050751,0.52065303,0.858669502,0.062410799,0.024485052,0.535999992,21.6
1665,RGI60-02.17612,48.97609,-121.2419,,10,0.017667413,0.364499347,0.620583397,0.055557916,0.007892629,0.308899998,-314.7
79,RGI60-02.17733,48.79868,-121.77805,,20,0.013987318,0.659718573,0.969632499,1.87E-12,0.00083155,0.603,-405.5
1367,RGI60-02.17739,48.75899887,-121.8253021,,20,0.013633899,0.67182919,0.982726819,1.22E-14,0.000605158,0.607,-475.5
75,RGI60-02.17806,48.44739914,-121.0309982,,20,0.020859215,0.652281065,0.96573973,5.45E-12,0.001321174,0.5265,-603
1667,RGI60-02.17863,48.40999985,-120.7900009,,7,0.032225948,0.413480141,0.43422727,0.330318188,0.029897412,0.557714277,447.5714286
1664,RGI60-02.18077,48.57289886,-121.0930023,,9,0.03093391,0.659082942,0.920874113,0.000424386,0.004949875,0.580888892,-252.7777778
84,RGI60-02.18337,47.57195,-121.2097,,17,0.027573178,0.65198576,0.993015823,2.44E-15,0.000845859,0.518823529,-482.9411765
76,RGI60-02.18415,47.96369934,-121.3485031,,19,0.023375429,0.640492955,0.956059117,1.73E-10,0.001738504,0.522631579,-504.2105263
83,RGI60-02.18487,47.56637,-121.17219,,19,0.01806059,0.588820353,0.84559586,5.13E-06,0.002765301,0.52,-381.0526316
3295,RGI60-02.18774,48.81389999,-121.7701035,,20,0.018855514,0.628611047,0.980800189,3.14E-14,0.000883671,0.525,-549.5
205,RGI60-02.18778,48.3475,-121.0479,,9,0.023075057,0.598195838,0.958438666,4.63E-05,0.002596146,0.483333333,-497.7777778
0,RGI60-03.04539,79.5146,-90.87697,,20,0.065295798,0.701155604,0.950187507,1.50E-10,0.005048321,0.472,-350.95
1629,RGI60-05.11186,65.6957016,-37.80319977,,12,0.046036759,0.566538139,0.933494181,9.16E-06,0.00559235,0.289166667,-602.5
3350,RGI60-05.20030,74.37999725,-20.81999969,,6,0.067867743,0.630866336,0.967998322,0.001519774,0.008797465,0.343333333,-423.6666667
3088,RGI60-06.00234,64.80000305,-18.57999992,,20,0.016072906,0.533094015,0.929287631,3.24E-09,0.001505755,0.3845,-924.5
3090,RGI60-06.00236,64.72000122,-19.04999924,,17,0.025202112,0.621333019,0.923813858,1.21E-07,0.002696661,0.381764706,-950.5882353
3089,RGI60-06.00238,64.91999817,-18.82999992,,17,0.017113491,0.513371158,0.923497206,1.25E-07,0.001835447,0.391764706,-710.5882353
3067,RGI60-06.00377,64.66999817,-16.17000008,,16,0.024993658,0.62614288,0.96076996,3.46E-09,0.001928275,0.511875,-457.1875
3096,RGI60-06.00424,64.58000183,-17.82999992,,16,0.017591622,0.594056671,0.904935065,1.46E-06,0.002210929,0.456875,-779.8125
3126,RGI60-06.00443,64.31999969,-18.06999969,,13,0.015788597,0.585684768,0.464821046,0.109511351,0.009067827,0.376923077,-1322.230769
3069,RGI60-06.00472,64.65000153,-15.57999992,,16,0.016035645,0.560348647,0.904692071,1.48E-06,0.00201836,0.4125,-922
3068,RGI60-06.00477,64.66999817,-17,,10,0.021511111,0.640421689,0.943169976,4.26E-05,0.002679614,0.551,-415.7
306,RGI60-07.00240,77.07700348,15.63000011,,16,0.045058842,0.55158527,0.86579669,1.46E-05,0.006960074,0.43125,-267.0625
2669,RGI60-07.00490,78.6651001,12.12489986,,11,0.023895116,0.337468816,0.375692588,0.254854145,0.019647858,0.18,-659
2307,RGI60-07.00492,78.67739868,12.06919956,,15,0.041581659,0.442740963,0.861681248,3.65E-05,0.006791672,0.207333333,-566.1333333
291,RGI60-07.00493,78.8809967,12.04800034,,15,0.043868817,0.405754073,0.820087889,0.00018115,0.008489854,0.267333333,-315.5333333
3812,RGI60-07.00496,78.87120056,12.1541996,,5,0.11182831,0.632929489,0.703495822,0.184949392,0.06522522,0.488,-129.6
