,RGIId,lat,lon,area_2020,n,slope,intercept,r_value,p_value,mad_err,wgms_AAR_mean,wgms_SMB_mean
0,RGI60-03.04539,79.5146,-90.87697,,20.0,0.06529579833385424,0.7011556042526615,0.9501875068751945,1.495851718653246e-10,0.005048321348852448,0.47200000000000003,-350.95
1,RGI60-03.00840,79.44158172607422,-90.95777893066406,,,,,,,,,
7,,52.170676,-117.278268,,,,,,,,,
16,,79.94999694824219,-99.12999725341795,,,,,,,,,
23,RGI60-02.00147,49.75,-117.1399993896484,,,,,,,,,
24,RGI60-02.04379,51.33000183105469,-125.0500030517578,,,,,,,,,
30,,56.97499847412109,-130.6840057373047,,,,,,,,,
32,RGI60-01.05355,57.09999847412109,-130.8200073242188,,,,,,,,,
34,RGI60-01.04591,56.93000030517578,-130.9700012207031,,,,,,,,,
39,,75.41999816894531,-83.25,,,,,,,,,
41,RGI60-02.01104,50.42499923706055,-122.6009979248047,,11.0,0.03016660260201558,0.4868822667598638,0.9174632789141391,6.921436192988205e-05,0.004360171685530762,0.4127272727272727,-245.8181818181818
44,RGI60-02.00296,49.88600158691406,-122.9800033569336,,,,,,,,,
45,RGI60-02.00377,49.95756149291992,-122.9872970581055,,10.0,0.023570915127492702,0.36523627094414024,0.8395135953027915,0.0023798214610356886,0.005393545438897554,0.358,-30.7
46,RGI60-02.02107,50.79180145263672,-123.4140014648438,,,,,,,,,
47,RGI60-02.02636,50.81999969482422,-123.5699996948242,,,,,,,,,
48,RGI60-04.07381,58.93780136108398,-63.55059814453125,,,,,,,,,
49,RGI60-04.07380,58.92959976196289,-63.56449890136719,,,,,,,,,
50,RGI60-04.07329,58.88650131225586,-63.68500137329102,,,,,,,,,
51,RGI60-04.07387,58.95000076293945,-63.77999877929688,,,,,,,,,
57,RGI60-02.05098,51.65990829467773,-116.5637969970703,,17.0,0.020788601308037797,0.49125323485341893,0.792409771157813,0.00014908166809143796,0.004131920184782711,0.361764705882353,-622.8823529411765
59,RGI60-02.02631,50.86999893188477,-123.5800018310547,,,,,,,,,
66,RGI60-02.04503,51.4455,-124.911,,,,,,,,,
72,,,,,,,,,,,,
75,RGI60-02.17806,48.4473991394043,-121.0309982299805,,20.0,0.020859214722853764,0.6522810647788081,0.9657397300735674,5.45394190342299e-12,0.0013211739487660054,0.5265,-603.0
76,RGI60-02.18415,47.96369934082031,-121.348503112793,,19.0,0.02337542947778276,0.6404929549458731,0.9560591172660181,1.7332171185283253e-10,0.0017385042933989734,0.5226315789473684,-504.2105263157895
77,RGI60-02.17307,48.82590103149414,-121.6220016479492,,20.0,0.017718907835268322,0.627938684546773,0.9602023438065209,2.0583421395466326e-11,0.0012148345503138654,0.5125,-651.5
79,RGI60-02.17733,48.79868,-121.77805,,20.0,0.0139873175101871,0.6597185725038086,0.9696324993975896,1.8682902160160055e-12,0.0008315495687097127,0.603,-405.5
81,,47.56999969482422,-121.1800003051758,,20.0,0.02094170925589107,0.6507060787894388,0.9943411291887919,5.536752442076225e-19,0.0005273574457247688,0.5505,-478.5
82,,47.54999923706055,-121.1699981689453,,14.0,0.022870812310510715,0.6266814725375383,0.9469182967747494,2.8789908389303646e-07,0.0022414277614842535,0.545,-357.14285714285717
83,RGI60-02.18487,47.56637,-121.17219,,19.0,0.018060589966497988,0.5888203533460239,0.8455958603346386,5.131135481179258e-06,0.0027653009165909278,0.52,-381.05263157894734
