RGIId,wgms_ELA,wgms_THAR,wgms_AAR,wgms_AABR,CenLon,CenLat,compile_AAR,intercept_AAR,steady_AAR,compile_ELA,intercept_ELA,steady_ELA,compile_THAR,intercept_THAR,steady_THAR,compile_AABR,intercept_AABR,steady_AABR
RGI60-01.00570,1763.0766877029755,0.5104021670586523,0.6307434649594948,2.26180650984505,-145.427,63.281,0.543219718587299,0.543219718587299,0.543219718587299,1838.873103542646,1838.873103542646,1838.873103542646,0.5758046544012596,0.5758046544012596,0.5758046544012596,1.5431773800441766,1.5431773800441766,1.5431773800441766
RGI60-01.01104,1010.2944717212388,0.3838977523015506,0.7759072662128914,4.47628538797146,-134.349,58.38,0.5890682620216396,0.5890682620216396,0.5890682620216396,1095.770752576202,1095.770752576202,1095.770752576202,0.5095104553858164,0.5095104553858164,0.5095104553858164,1.7699788224101831,1.7699788224101831,1.7699788224101831
RGI60-01.02228,1992.4011594399549,0.5097387692024853,0.5955798448875852,1.8386339501248712,-143.8476257,69.30207062,0.5955798448875852,0.5955798448875852,0.5955798448875852,1992.4011594399549,1992.4011594399549,1992.4011594399549,0.5097387692024853,0.5097387692024853,0.5097387692024853,1.8386339501248716,1.8386339501248716,1.8386339501248716
RGI60-01.09162,1169.37416564393,0.6145029896538364,0.6498804522614697,2.630804100939193,-148.908,60.412,0.5940237794612935,0.5940237794612935,0.5940237794612935,1222.0033528151937,1222.0033528151937,1222.0033528151937,0.6597137789560967,0.6597137789560967,0.6597137789560967,2.027343361319856,2.027343361319856,2.027343361319856
RGI60-02.00377,1996.4158902912045,0.6143386020183584,0.360885157326546,0.6117288739837464,-122.989,49.9609,0.4970257524192368,0.4970257524192368,0.4970257524192368,1951.29634525708,1951.29634525708,1951.29634525708,0.4805788654471389,0.4805788654471389,0.4805788654471389,1.0680505755753522,1.0680505755753522,1.0680505755753522
RGI60-02.01104,2059.513049779106,0.3095144907877419,0.4848004574749211,1.0605618679615518,-122.605,50.4195,0.4226326391255846,0.4226326391255846,0.4226326391255846,2081.0323385520137,2081.0323385520137,2081.0323385520137,0.3423203903771188,0.3423203903771188,0.3423203903771188,0.8303320660246117,0.8303320660246117,0.8303320660246117
RGI60-02.05098,2668.498223153756,0.5908496717178995,0.4745144673546466,1.0138502995786287,-116.56,51.6585,0.5609668247219508,0.5609668247219508,0.5609668247219508,2623.500733838773,2623.500733838773,2623.500733838773,0.5363235369293078,0.5363235369293078,0.5363235369293078,1.4404449701691124,1.4404449701691124,1.4404449701691124
RGI60-02.14297,2702.2241523201765,0.4081948301761343,0.4478644213877105,1.1807410782376797,-121.71401,46.86478,0.5489843682106768,0.5489843682106768,0.5489843682106768,2535.4165723816177,2535.4165723816177,2535.4165723816177,0.3448709663945899,0.3448709663945899,0.3448709663945899,1.7904799677827274,1.7904799677827274,1.7904799677827274
RGI60-02.14336,2624.2913594315864,0.4111725436787277,0.529943390011579,1.9350873441734464,-121.74768,46.82481,0.529943390011579,0.529943390011579,0.529943390011579,2624.2913594315864,2624.2913594315864,2624.2913594315864,0.4111725436787277,0.4111725436787277,0.4111725436787277,1.9350873441734464,1.9350873441734464,1.9350873441734464
RGI60-02.17307,1636.9882911214313,0.2869425670889617,0.6235418803951711,1.7816305237807797,-121.6233,48.82573,0.49528005077685,0.49528005077685,0.49528005077685,1659.576897503713,1659.576897503713,1659.576897503713,0.3298160316305245,0.3298160316305245,0.3298160316305245,1.0578474851050268,1.0578474851050268,1.0578474851050268
RGI60-02.17369,1822.8836078923737,0.483616882036239,0.5483062951453276,1.329083958706519,-121.51089,48.67217,0.4862292668690785,0.4862292668690785,0.4862292668690785,1841.3701192251376,1841.3701192251376,1841.3701192251376,0.5222904304286304,0.5222904304286304,0.5222904304286304,1.0372323328871351,1.0372323328871351,1.0372323328871351
RGI60-02.17612,2316.0625580550472,0.4450674843821586,0.3842262585814112,0.699072369382556,-121.2419,48.97609,0.4879445468544502,0.4879445468544502,0.4879445468544502,2259.169797954002,2259.169797954002,2259.169797954002,0.3432422391892338,0.3432422391892338,0.3432422391892338,1.062925915585017,1.062925915585017,1.062925915585017
RGI60-02.17733,1732.3366970760885,0.3495959075386222,0.6724187552191997,2.482643318984762,-121.77805,48.79868,0.563020450322085,0.563020450322085,0.563020450322085,1784.9123679953138,1784.9123679953138,1784.9123679953138,0.3909120571294817,0.3909120571294817,0.3909120571294817,1.5445374169680102,1.5445374169680102,1.5445374169680102
RGI60-02.17739,2037.3728753513049,0.3323868988037919,0.6879335882862985,2.728600618168311,-121.82996,48.74956,0.5412565250146112,0.5412565250146112,0.5412565250146112,2138.827870960712,2138.827870960712,2138.827870960712,0.4087019360064414,0.4087019360064414,0.4087019360064414,1.4440171265210562,1.4440171265210562,1.4440171265210562
RGI60-02.17806,1991.5166020269417,0.5418920519767674,0.6399136068659145,1.8097753393071192,-121.03017,48.44805,0.6399136068659145,0.6399136068659145,0.6399136068659145,1991.5166020269417,1991.5166020269417,1991.5166020269417,0.5418920519767674,0.5418920519767674,0.5418920519767674,1.8097753393071192,1.8097753393071192,1.8097753393071192
RGI60-02.17863,2212.6974978432686,0.7566685321503459,0.4286881505248002,0.8027188843819255,-120.78995,48.40934,0.6057286626977076,0.6057286626977076,0.6057286626977076,2163.890849822693,2163.890849822693,2163.890849822693,0.6020380025318706,0.6020380025318706,0.6020380025318706,1.6606412748913897,1.6606412748913897,1.6606412748913897
RGI60-02.18077,2083.3203501735,0.5164925021105327,0.6476246956650915,2.1489955363561517,-121.0938,48.57262,0.5627862307472696,0.5627862307472696,0.5627862307472696,2132.2679633717926,2132.2679633717926,2132.2679633717926,0.5899763643785542,0.5899763643785542,0.5899763643785542,1.4915104220378288,1.4915104220378288,1.4915104220378288
RGI60-02.18337,2049.141742496813,0.4817778299085459,0.6784739139463918,2.307357220668692,-121.2097,47.57195,0.5681517519879091,0.5681517519879091,0.5681517519879091,2091.4045207439262,2091.4045207439262,2091.4045207439262,0.6054857567666444,0.6054857567666444,0.6054857567666444,1.4302889606263929,1.4302889606263929,1.4302889606263929
RGI60-02.18415,1596.9328458934897,0.5303799169014793,0.6595055675287756,2.0707911884083385,-121.34847,47.96242,0.5799571911096382,0.5799571911096382,0.5799571911096382,1609.9528787043364,1609.9528787043364,1609.9528787043364,0.5724237331997066,0.5724237331997066,0.5724237331997066,1.4701525924636316,1.4701525924636316,1.4701525924636316
RGI60-02.18487,2197.5242771602448,0.5569780258390478,0.5850761493060483,1.5170618523014805,-121.17219,47.56637,0.5155143657246813,0.5155143657246813,0.5155143657246813,2218.138252248036,2218.138252248036,2218.138252248036,0.6100157338552166,0.6100157338552166,0.6100157338552166,1.142809577806276,1.142809577806276,1.142809577806276
RGI60-02.18774,1806.27571145113,0.3167707658545335,0.6222323748590307,1.7907321621483452,-121.76816,48.81383,0.48135666873014,0.48135666873014,0.48135666873014,1839.768924516101,1839.768924516101,1839.768924516101,0.4033868574542612,0.4033868574542612,0.4033868574542612,1.0107920190697424,1.0107920190697424,1.0107920190697424
RGI60-02.18778,1844.0952400915655,0.4129634621891586,0.6061850512683324,1.7781233814498836,-121.05735,48.35698,0.5115065691495868,0.5115065691495868,0.5115065691495868,1883.450832867758,1883.450832867758,1883.450832867758,0.4852638161806403,0.4852638161806403,0.4852638161806403,1.203783784497337,1.203783784497337,1.203783784497337
RGI60-03.04539,1020.8374012636942,0.6163209825323205,0.7056265871335627,4.669241449224446,-90.87697,79.5146,0.8146222430580633,0.8146222430580633,0.8146222430580633,836.2002121874345,836.2002121874345,836.2002121874345,0.4905538080480718,0.4905538080480718,0.4905538080480718,10.920881503449566,10.920881503449566,10.920881503449566
