glacier_type,temperature_category,area_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,6332,0.5558021080147224,0.06023102643090373,0.00017447034692649903,6488,0.5403050260091672,0.11279772806524858,0.00017320737288627382,6228,1.3173784820206675,0.31441745393905496,0.0010789632712484012
0,0,1,7217,0.5616517230615521,0.05813990366640599,0.00024978827755661373,7396,0.5136044547903111,0.10962274438683157,0.00023606663558427347,6951,1.384028336969251,0.3127644716407301,0.001552614551683846
0,0,2,6120,0.5825947156590342,0.05935026450852514,0.0003632076379005505,6758,0.4995697868420834,0.10560691656717483,0.0003093469483051252,5096,1.5439471209204794,0.32701069026759455,0.0026141623521434214
0,1,0,18940,0.5390076691879608,0.056794055142738824,5.375503762437625e-05,19072,0.5452434629969697,0.1041957776631315,5.0736163343799536e-05,18823,1.2276562613710467,0.2831341056729376,0.00028874565421634877
0,1,1,19486,0.5382091164318311,0.05187806271432937,8.424598792453442e-05,19676,0.5052967984127014,0.09607934434898542,7.751498927177099e-05,19327,1.2455983216148132,0.27047648893805654,0.0004900639942063719
0,1,2,10026,0.5519104517146385,0.05487464346875161,0.00019083346880615308,10342,0.4773810249284053,0.09206561397627416,0.0001544629469493231,9526,1.3476728521344408,0.305241070182848,0.0011877744615362746
0,2,0,36084,0.5272636301193686,0.05965698462119358,2.9589256084402982e-05,36762,0.5340301529966831,0.10664178608704289,2.7152721231409566e-05,36169,1.178289841876288,0.2919010525209826,0.0001522144205368207
0,2,1,31965,0.527973501399057,0.04840022827078759,3.599317355206873e-05,32096,0.5112962078366161,0.09696877848719265,3.2655044920202206e-05,31911,1.2127825422137672,0.251287191785833,0.00019990998480519539
0,2,2,15956,0.5421967205483121,0.05075273093570165,8.074692794784751e-05,16181,0.4998081705813471,0.09688118465452841,6.365058378613432e-05,15506,1.3359393546783025,0.29056769875270044,0.000467919807518808
1,0,0,247,0.555091301445139,0.06780261356046109,0.0012531846553506007,261,0.5107085425134624,0.13036005963646843,0.0012725403732812373,243,1.328513438144642,0.3571333157318802,0.007028853531156176
1,0,1,1183,0.5430809849199885,0.06496687418226975,0.0005604288656782974,1217,0.5063229143403568,0.12015783161311933,0.0005273368827170245,1138,1.3024266375943672,0.33349635041088505,0.0033549963881013387
1,0,2,4485,0.5692115072936449,0.06451470523915445,0.00037771025076439814,5026,0.5087631214797455,0.11612552834856509,0.0003069253726405419,3611,1.4973006249414096,0.33804609202555347,0.0025789260405805633
1,1,0,1074,0.5159461393918984,0.060312429422760376,0.0003724267546933907,1099,0.5165614985387539,0.1064051435341288,0.0003160546203196882,1086,1.1240619287732783,0.2971175736132004,0.0017153736973408986
1,1,1,3134,0.5122946890886307,0.05504765940375226,0.00020686656475241765,3196,0.4940430314502448,0.0995779741145235,0.00017951951979695963,3170,1.1192416234141154,0.2745634396311418,0.0009185263608559817
1,1,2,7969,0.5354868541689493,0.06218193436423073,0.00019705944334184907,8284,0.46851538502295237,0.0940046952773547,0.00014792036615057392,7417,1.2858388745531504,0.34898962815880563,0.0011175512172430964
1,2,0,5404,0.5226019049180871,0.0635909577486068,0.00010475900842045512,5542,0.5197169464246021,0.10985544135874847,9.342998339187985e-05,5438,1.1564593926615407,0.30906271025855964,0.0005203104749603848
1,2,1,8716,0.5131250915765866,0.05242536866368391,8.33694970937663e-05,8796,0.5080105914192681,0.10219073650149454,7.174668379151153e-05,8798,1.140926887242893,0.26212435047895866,0.00037473841696651313
1,2,2,15448,0.5327459868257086,0.05891200917419985,8.882652038007091e-05,15856,0.4946215829334087,0.09558316051073651,6.748084371944718e-05,14748,1.2997612248705428,0.3310247851802288,0.00047565748040144897
2,0,2,1211,0.606192434495963,0.05714088824646239,0.0008944079794145733,1597,0.5484790408001405,0.11555177217588544,0.0007436127182056257,883,1.6538592382308002,0.319521987144464,0.007099020877524477
2,1,2,832,0.5898651855767834,0.0535794186462323,0.0009024977967895622,963,0.5098175723632313,0.10703996985693598,0.0007495803709722546,703,1.511358854419266,0.30248371859628165,0.006480714517602013
2,2,2,605,0.5692122173807209,0.05635368294065926,0.0006413736384138655,628,0.5208044345921083,0.10180353313013138,0.0005623250389280206,467,1.463115395241633,0.32714612213954253,0.005057516477156486
3,0,2,1118,0.5931703545100493,0.05998873858184606,0.0007202462788551288,1387,0.568759095023418,0.11843208185419572,0.0006097552987709231,774,1.634090941984927,0.31760498354349165,0.005707773029562293
3,1,2,509,0.5753711368585308,0.05961958917322402,0.0008573726429919024,597,0.5169792535069232,0.12016117350081484,0.0007902788255621958,389,1.4473967944485622,0.34721026615475237,0.0064159215642185605
3,2,2,726,0.550384524822082,0.06362817783157139,0.000448078821317423,767,0.5157552143838544,0.10022463615376989,0.0003693193802968207,593,1.390335782961217,0.34548265573330333,0.0028688939511212538
4,0,0,15,0.5703621162012166,0.0635452913838517,0.0,20,0.46500014182980526,0.16875282018466173,0.002702723937317253,12,1.5870461041409063,0.28363862938729156,0.0
4,0,1,9,0.5884734217988138,0.07029481956392007,0.013795154528494016,10,0.3349991951945906,0.16311313176793463,0.004026830005625398,4,1.7726863037267233,0.20687238807675562,0.1246092449467186
4,0,2,97,0.6192150670632356,0.06690400425309083,0.0028798858607045497,202,0.4088811606052714,0.12767060072837594,0.0021142132681973287,8,1.612907454576915,0.41041920359900297,0.05978256014298518
4,1,0,20,0.5784612649153988,0.08342118669545957,0.002280230588534926,26,0.4382068667426642,0.1408591213759586,0.0023742534886636905,7,1.403472880099518,0.40395225750309854,0.0
4,1,1,32,0.5636205968476716,0.05637956332855897,0.0019674824906539086,35,0.4139575615168929,0.11902953875320563,0.0017603015356960796,7,1.575314286977506,0.33433584106221936,0.0
4,1,2,151,0.5926571028434976,0.06577738503931521,0.0018822427891500115,180,0.4055642195974789,0.122286475993503,0.0015522083629775283,14,1.7626521686798495,0.409111060809794,0.018935245252494598
4,2,0,51,0.5667594041310499,0.08487308394030182,0.001856554694852803,67,0.440227505781256,0.14108984172729275,0.0024952884749945598,23,1.6165891421226966,0.3087880339506765,0.03712892664378704
4,2,1,85,0.5831448259631382,0.07518936531879968,0.0023813131060361255,97,0.4186274378553027,0.12902621850212437,0.00217838208961582,18,1.8818454286593043,0.19960233026011126,0.0
4,2,2,340,0.5792988576832682,0.07045767817122563,0.0014162616755466415,343,0.4047879585607343,0.11942658542621629,0.001008585806641554,46,1.7662352201188873,0.30296801613254376,0.0265932491660483
5,0,1,2,0.5805592463253003,0.002971500959125468,0.03648239271004816,3,0.42610486022784677,0.15834512924154306,0.027180967688084905,2,1.6717369588243551,0.08564433182991094,0.22274356381647553
5,0,2,61,0.6256213632599738,0.04686713552030486,0.0033983850664500363,120,0.48736412537880724,0.13714957725827331,0.002522575039330188,8,1.9527921385933578,0.1701673039673519,0.048967547948349226
5,1,2,132,0.6054295174735298,0.05678861207300246,0.002018716924914491,179,0.42090066498002143,0.11716408583931529,0.0016920488110116127,5,1.9113869453195496,0.2241285822741704,0.0699725809938774
5,2,2,152,0.5907289146184859,0.05806236185924078,0.0013881681348627127,173,0.4577554353059761,0.10725496381006179,0.0009186457913132928,25,1.9034980955116478,0.2332621751742835,0.025483137021366578
6,0,2,43,0.6387834764682611,0.04644068006511327,0.003904170486144653,129,0.5138904203197574,0.16576534242260257,0.002777225916963544,5,1.9263758587200104,0.19633439537045075,0.0
6,1,2,78,0.6122590331920517,0.058995543804679064,0.0029389124208329498,139,0.4168179448306994,0.13849461266787122,0.0021311405443923265,2,1.6339606386796584,0.06999495880419426,0.0
