glacier_type,temperature_category,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,2441,0.5616587009583915,0.06383285815540912,0.00042484886032379145,2516,0.5186947564120529,0.12202330311630886,0.00036504937922665447,2208,1.3817595984749174,0.3465476125594628,0.002626792133282937
0,0,0,1,4446,0.5599252351653796,0.0635010963949891,0.00032174562904247443,4621,0.5197157589342155,0.11675649129655953,0.0002687278654479132,3989,1.3977006325309638,0.3504087083522375,0.0020116852163762676
0,0,0,2,46,0.5678381739776266,0.06871113723216864,0.0064315225285711385,48,0.40547193600061887,0.099182232054833,0.004959046303954986,37,1.4765969026993304,0.3753275684385502,0.042893979214765135
0,0,0,3,45,0.5685221335410376,0.08704103408127299,0.00459711954638377,50,0.44434142238050794,0.12580638351114753,0.003559549902110895,33,1.5436981669476124,0.36521692207309076,0.03643108826037834
0,0,1,0,1422,0.5658165961010929,0.060769487066929855,0.0005804316941018703,1500,0.5165657407505015,0.10998876136199685,0.0005573961772368753,1341,1.4084486478446623,0.3346744098825578,0.003838721566052898
0,0,1,1,3687,0.5610518533660598,0.059486977705124525,0.00035451439483641107,3901,0.5048888899188818,0.10630544223236509,0.00032775752412883004,3431,1.3933525599834384,0.3272092507754181,0.0022819698422618427
0,0,1,3,1,0.5767912387628947,,0.0573366516069751,3,0.3572287653533974,0.11387875977672704,0.009251224637371528,1,1.5671950099511458,,0.32356054011189883
0,0,2,0,2022,0.5784730651170236,0.06037497117147467,0.0005277035671773218,2202,0.5258831795639352,0.11351203326526348,0.0005073011498949738,1913,1.4416630685183123,0.33416498221347185,0.0034892365644518353
0,0,2,1,5559,0.5725274050366798,0.05443806164673268,0.0002915976664741113,5800,0.5220899540411468,0.10021029831869671,0.0002793554579472439,5322,1.4153041390177776,0.3030823358171547,0.0019220986678146314
0,1,0,0,3865,0.5377984676318501,0.05647080931690575,0.0002163719800449739,3915,0.506402183095328,0.11363641244385561,0.00016847572728109252,3781,1.2508840636674592,0.29333644651221025,0.0011277312010402009
0,1,0,1,7737,0.5368556639777087,0.054787199176726836,0.00015269725583077692,7858,0.4985959076549779,0.10496119071144921,0.00011460190270511325,7574,1.2408121419679212,0.2979572116994656,0.0008593384790849593
0,1,0,2,136,0.5469330431232072,0.07546812968922754,0.0012615015072790603,142,0.47940967203978313,0.13127015532800487,0.0010137712895287667,123,1.265333489081871,0.35901538292731994,0.00892045798489879
0,1,0,3,126,0.5529898720806169,0.07230980815521466,0.0020123318398100718,139,0.4655074424701229,0.14013538601489214,0.0017250058312723105,94,1.4054122819324086,0.3846033484801449,0.01470808233737499
0,1,1,0,3649,0.5426438197918874,0.05648154813702133,0.000194987726083582,3718,0.5186469385968903,0.10646091737604656,0.00018710383187342324,3592,1.268358310769167,0.29562453237084285,0.0011244990005867242
